time	200
dz	0.02	0.02	0.02	0.02	0.02	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
limit_depth	0.001
items	number	k_offset	center_x	center_y	delta_x	delta_y	btm_k	sfc_k	btm_z	sfc_z	container_i	container_j	local_i	local_j	dry_wet
column	0	0	0.25	0.05	0.5	0.1	0	14	0	0.5637042117235106	0	0	0	0	wet
column	1	0	0.75	0.05	0.5	0.1	0	14	0	0.5620214812832345	0	0	1	0	wet
column	2	0	1.25	0.05	0.5	0.1	0	14	0	0.5610457877237699	1	0	0	0	wet
column	3	0	1.75	0.05	0.5	0.1	0	14	0	0.5610254908582787	1	0	1	0	wet
column	4	0	2.25	0.05	0.5	0.1	0	14	0	0.560948425563633	2	0	0	0	wet
column	5	0	2.75	0.05	0.5	0.1	0	14	0	0.5608814292116503	2	0	1	0	wet
column	6	0	3.25	0.05	0.5	0.1	0	14	0	0.5607784572348905	3	0	0	0	wet
column	7	0	3.75	0.05	0.5	0.1	0	14	0	0.5607422261405142	3	0	1	0	wet
column	8	0	4.25	0.05	0.5	0.1	0	14	0	0.5607925395949585	4	0	0	0	wet
column	9	0	4.75	0.05	0.5	0.1	0	14	0	0.5607891584525748	4	0	1	0	wet
column	10	0	5.125	0.05	0.25	0.1	0	14	0	0.5607310150279651	5	0	0	0	wet
column	11	0	5.375	0.05	0.25	0.1	0	14	0	0.5606724258487266	5	0	1	0	wet
column	12	0	5.625	0.05	0.25	0.1	0	14	0	0.5605949669446727	5	0	2	0	wet
column	13	0	5.875	0.05	0.25	0.1	0	14	0	0.5605107938002626	5	0	3	0	wet
column	14	0	6.125	0.05	0.25	0.1	0	14	0	0.560457249146653	6	0	0	0	wet
column	15	0	6.375	0.05	0.25	0.1	0	14	0	0.5604560755625504	6	0	1	0	wet
column	16	0	6.625	0.05	0.25	0.1	0	14	0	0.5604979839681745	6	0	2	0	wet
column	17	0	6.875	0.05	0.25	0.1	0	14	0	0.5605522506873754	6	0	3	0	wet
column	18	0	7.125	0.05	0.25	0.1	0	14	0	0.5605897773805755	7	0	0	0	wet
column	19	0	7.375	0.05	0.25	0.1	0	14	0	0.5606118163948834	7	0	1	0	wet
column	20	0	7.625	0.05	0.25	0.1	0	14	0	0.5606166660375597	7	0	2	0	wet
column	21	0	7.875	0.05	0.25	0.1	0	14	0	0.5606043167706335	7	0	3	0	wet
column	22	0	8.125	0.05	0.25	0.1	0	14	0	0.5605617891127317	8	0	0	0	wet
column	23	0	8.375	0.05	0.25	0.1	0	14	0	0.5604803738007494	8	0	1	0	wet
column	24	0	8.625	0.05	0.25	0.1	0	14	0	0.56038372810062	8	0	2	0	wet
column	25	0	8.875	0.05	0.25	0.1	0	14	0	0.5602980519454953	8	0	3	0	wet
